barcode,policy_table9,k,outer_fold,future_point_count,soh_rmse,soh_mae,soh_mse
EL150800460525,6C(50%)-3C,50,2,691,0.02971910030480478,0.019836708273181854,0.0008832249229270477
EL150800460618,7C(40%)-3C,50,2,651,0.01712781512516839,0.00959019504413736,0.00029336205096194704
EL150800460659,5.4C(80%)-5.4C,50,2,819,0.032055270829902574,0.02045298879378296,0.0010275403879784028
EL150800464977,4C(80%)-4C,50,2,1383,0.05117130875695084,0.03254398587183734,0.0026185028398991936
EL150800460485,7C(40%)-3.6C,50,3,565,0.04089324713551235,0.02702506644238977,0.0016722576612860892
EL150800460506,6C(50%)-3.6C,50,3,653,0.04612398564515414,0.026747836725232878,0.0021274220517943847
EL150800460507,6C(30%)-3.6C,50,3,809,0.0027987539579754223,0.0015732705738790702,7.833023717283091e-06
EL150800460603,4.65C(19%)-4.85C,50,3,438,0.03143260358483656,0.017942362488042478,0.0009880085681214798
EL150800460630,5.4C(70%)-3C,50,3,966,0.014369053685066139,0.009961730084393402,0.00020646970380431277
EL150800460634,3.6C(30%)-6C,50,3,460,0.0339497900220939,0.02759544717813766,0.0011525882425442665
EL150800463208,4C(40%)-6C,50,3,432,0.013837222208759018,0.012301120157530376,0.0001914687184545738
EL150800463882,5.4C(40%)-3.6C,50,3,737,0.041334155586621166,0.02403315499828042,0.0017085124180590057
EL150800460466,4C(13%)-5C,50,4,426,0.02175860843390031,0.01705306272819986,0.0004734370409797977
EL150800460513,5.6C(65%)-3C,50,4,378,0.028790182615148298,0.015165720120029468,0.0008288746150135872
EL150800460615,6C(40%)-3C,50,4,658,0.01889710736458488,0.012537086000458894,0.00035710066674864805
EL150800460628,5.2C(71%)-3C,50,4,412,0.02361583107228251,0.013960063784281853,0.000557707477234584
EL150800460655,3.6C(22%)-5.5C,50,4,393,0.04177001760931237,0.032537185289617424,0.0017447343710822656
EL150800463229,7C(30%)-3.6C,50,4,915,0.008730956054280313,0.004881224211257183,7.622959362177404e-05
EL150800464881,5.4C(60%)-3C,50,4,737,0.052677426631414184,0.034281865034763104,0.0027749112765080245
EL150800464883,4.4C(80%)-4.4C,50,4,1023,0.0731156503216363,0.051378250387402416,0.005345898321955795
EL150800440551,4.4C(55%)-6C,50,5,410,0.06913927311088498,0.05518171607503416,0.004780239086301543
EL150800453773,6C(60%)-3C,50,5,566,0.0059162880552940346,0.004915377700961126,3.500246435321487e-05
EL150800460602,2C(2%)-5C,50,5,387,0.026859008431741282,0.016724492387227424,0.0007214063339363493
EL150800460604,4.9C(69%)-4.25C,50,5,447,0.02453247089197257,0.012839960299644331,0.0006018421280654814
EL150800460627,5.6C(58%)-3.5C,50,5,408,0.03312119679041652,0.016352640872452338,0.0010970136768294976
EL150800460640,6C(40%)-3.6C,50,5,680,0.030846737157802673,0.020277698755531724,0.0009515211932825642
EL150800460641,5.2C(58%)-4C,50,5,469,0.00950294082097734,0.007543202936757257,9.030588424699747e-05
EL150800463871,5.4C(60%)-3.6C,50,5,508,0.04133645831043873,0.03235256718126399,0.001708702785650639
EL150800453113,5.4C(50%)-3C,100,1,618,0.02525762415993749,0.01755040062095984,0.0006379475782046579
EL150800460478,4.4C(24%)-5C,100,1,393,0.03439172834478493,0.023562934532426374,0.0011827909785414833
EL150800460511,5.6C(38%)-4.25C,100,1,377,0.023284818268360926,0.0124256466350273,0.0005421827617905948
EL150800460518,1C(4%)-6C,100,1,199,0.06600205859799893,0.054998687265879094,0.004356271739173684
EL150800460608,5.2C(37%)-4.5C,100,1,391,0.029659126653384122,0.01694770666432694,0.0008796637938414804
EL150800460611,4.8C(80%)-4.8C,100,1,360,0.04778593793751753,0.033095543277832776,0.002283495864568277
EL150800460613,6C(4%)-4.75C,100,1,386,0.023118051963430582,0.01475271670337042,0.0005344443265838766
EL150800460614,4.9C(27%)-4.75C,100,1,367,0.026190111002105318,0.01738919411609519,0.000685921914302598
EL150800465027,4.8C(80%)-4.8C,100,1,769,0.008380470967554057,0.005031369767573797,7.023229363801642e-05
EL150800460486,3.6C(80%)-3.6C,100,2,2059,0.07362675391834822,0.05336014723148555,0.005420898892553005
EL150800460498,6C(31%)-4.25C,100,2,361,0.019769624954677593,0.013656812319087932,0.000390838070848611
EL150800460501,4.65C(69%)-6C,100,2,426,0.0171369269664715,0.009921984897374302,0.0002936742658541781
EL150800460522,5.4C(50%)-3.6C,100,2,756,0.07141575213980912,0.05215081272059835,0.005100209653694652
EL150800460525,6C(50%)-3C,100,2,641,0.02099985391642893,0.015301344351373095,0.0004409938645113555
EL150800460618,7C(40%)-3C,100,2,601,0.024490674522961737,0.013713618747091871,0.0005997931385896471
EL150800460659,5.4C(80%)-5.4C,100,2,769,0.019584299580269336,0.013450672524735469,0.0003835447900497377
EL150800464977,4C(80%)-4C,100,2,1333,0.043865085486401056,0.027679770853483724,0.0019241457247292724
EL150800460485,7C(40%)-3.6C,100,3,515,0.03747142443626143,0.025378065106698572,0.0014041076492824506
EL150800460506,6C(50%)-3.6C,100,3,603,0.04808207616119455,0.028221231344763918,0.0023118860479709132
EL150800460507,6C(30%)-3.6C,100,3,759,0.016831053876858952,0.010730772839659721,0.0002832843746057288
EL150800460603,4.65C(19%)-4.85C,100,3,388,0.020910158431143626,0.013081007605223712,0.0004372347256155269
EL150800460630,5.4C(70%)-3C,100,3,916,0.02211211584107745,0.014300057314746052,0.0004889456669692283
