model_id,barcode,policy_table9,k,outer_fold,future_point_count,soh_mse,soh_rmse,soh_mae
M3R,EL150800463229,7C(30%)-3.6C,5,4,960,0.0004785390102879462,0.02187553451433693,0.013089326787676322
M3R,EL150800464881,5.4C(60%)-3C,5,4,782,0.0010256198036242832,0.032025299430673296,0.01935247008613596
M3R,EL150800464883,4.4C(80%)-4.4C,5,4,1068,0.0008069612415634929,0.0284070632337011,0.01607271965104703
M3R,EL150800440551,4.4C(55%)-6C,5,5,455,0.0014150311306352942,0.03761689953511977,0.02628001423212265
M3R,EL150800453773,6C(60%)-3C,5,5,611,0.00012413664252217485,0.011141662466713612,0.006694248655199189
M3R,EL150800460602,2C(2%)-5C,5,5,432,0.0001265904937779849,0.011251244099120102,0.007324322037711797
M3R,EL150800460604,4.9C(69%)-4.25C,5,5,492,0.0006112390007081885,0.02472324818279727,0.014150742560747269
M3R,EL150800460627,5.6C(58%)-3.5C,5,5,453,0.000142383016134423,0.011932435465336613,0.01092833630679793
M3R,EL150800460640,6C(40%)-3.6C,5,5,725,0.0005208945903719317,0.02282311526439657,0.015056146711978559
M3R,EL150800460641,5.2C(58%)-4C,5,5,514,0.000288293029266717,0.016979194011104207,0.014490122935185841
M3R,EL150800463871,5.4C(60%)-3.6C,5,5,553,0.0020313023156876093,0.045069971330006516,0.03373423139115028
M3R,EL150800453113,5.4C(50%)-3C,10,1,708,0.00024457825004267826,0.015638997731398208,0.011783427037202521
M3R,EL150800460478,4.4C(24%)-5C,10,1,483,8.312738642835403e-05,0.009117422137224647,0.005764556260830164
M3R,EL150800460511,5.6C(38%)-4.25C,10,1,467,0.00013154994312620982,0.011469522358241856,0.008661454104269254
M3R,EL150800460518,1C(4%)-6C,10,1,289,0.006156993143824055,0.07846650969569154,0.06331872796174033
M3R,EL150800460608,5.2C(37%)-4.5C,10,1,481,0.00027598603064030457,0.016612827292195168,0.009216237535572797
M3R,EL150800460611,4.8C(80%)-4.8C,10,1,450,0.001801928212959973,0.04244912499639979,0.027114439215255352
M3R,EL150800460613,6C(4%)-4.75C,10,1,476,6.3948568339300735e-06,0.0025288054163834102,0.0020520105441594284
M3R,EL150800460614,4.9C(27%)-4.75C,10,1,457,0.0002106961734361033,0.014515377137232891,0.008945600738763387
M3R,EL150800465027,4.8C(80%)-4.8C,10,1,859,0.00020720736070106515,0.014394699048645135,0.00820043556325877
M3R,EL150800460486,3.6C(80%)-3.6C,10,2,2149,0.00834283415326264,0.09133911622772929,0.07224002695309967
M3R,EL150800460498,6C(31%)-4.25C,10,2,451,0.0004065559236338935,0.020163231973914637,0.01101663125399031
M3R,EL150800460501,4.65C(69%)-6C,10,2,516,4.0381681366421406e-05,0.006354658241512395,0.00521427283401075
M3R,EL150800460522,5.4C(50%)-3.6C,10,2,846,0.0046142270378507644,0.06792810197444622,0.04797830005579527
M3R,EL150800460525,6C(50%)-3C,10,2,731,0.0012521476143355168,0.03538569787831684,0.023148300704678753
M3R,EL150800460618,7C(40%)-3C,10,2,691,0.00045211083591953187,0.021262898107255554,0.011211787035434594
M3R,EL150800460659,5.4C(80%)-5.4C,10,2,859,0.0007434489374885376,0.027266260056864007,0.016985046064768732
M3R,EL150800464977,4C(80%)-4C,10,2,1423,0.005992408693802644,0.077410649744093,0.05504359725329106
M3R,EL150800460485,7C(40%)-3.6C,10,3,605,0.00011502134292422745,0.0107248003675699,0.0065934538174686865
M3R,EL150800460506,6C(50%)-3.6C,10,3,693,0.00209925098585266,0.04581758380635823,0.025871781076237957
M3R,EL150800460507,6C(30%)-3.6C,10,3,849,0.000757254782863719,0.027518262715217307,0.01647081751924439
M3R,EL150800460603,4.65C(19%)-4.85C,10,3,478,0.0001288459804579523,0.011351034334277749,0.009345052235488366
M3R,EL150800460630,5.4C(70%)-3C,10,3,1006,0.0007048021349480543,0.0265481098187433,0.016124862973017556
M3R,EL150800460634,3.6C(30%)-6C,10,3,500,0.0033343294960086656,0.05774365329634648,0.04357486180555495
M3R,EL150800463208,4C(40%)-6C,10,3,472,0.0005304294198109764,0.023031053380403083,0.016550930968435205
M3R,EL150800463882,5.4C(40%)-3.6C,10,3,777,0.000666727851007168,0.02582107377719153,0.013012929019584504
M3R,EL150800460466,4C(13%)-5C,10,4,466,0.00012934987192048035,0.011373208514771914,0.007835191870848851
M3R,EL150800460513,5.6C(65%)-3C,10,4,418,0.0005979822074534499,0.024453674722901053,0.012870913427948764
M3R,EL150800460615,6C(40%)-3C,10,4,698,0.00028089171198939546,0.016759824342438542,0.010897952803749547
M3R,EL150800460628,5.2C(71%)-3C,10,4,452,0.0009888670230563672,0.03144625610555837,0.017545707036958697
M3R,EL150800460655,3.6C(22%)-5.5C,10,4,433,0.001001326759556158,0.03164374755865933,0.02528003622753988
M3R,EL150800463229,7C(30%)-3.6C,10,4,955,0.00037469327396890377,0.01935699547886768,0.011243129020533264
M3R,EL150800464881,5.4C(60%)-3C,10,4,777,0.0010311558892186236,0.032111616110352084,0.019098364288434467
M3R,EL150800464883,4.4C(80%)-4.4C,10,4,1063,0.0015723205847104067,0.039652497836963646,0.023000357849654967
M3R,EL150800440551,4.4C(55%)-6C,10,5,450,0.002158930782493273,0.04646429578174271,0.03242080215774081
M3R,EL150800453773,6C(60%)-3C,10,5,606,0.0004943823700191495,0.022234710927267514,0.010569322433129249
M3R,EL150800460602,2C(2%)-5C,10,5,427,0.0004519621325141565,0.021259401038461936,0.012644901285833359
M3R,EL150800460604,4.9C(69%)-4.25C,10,5,487,0.0003557825469874259,0.018862198890570153,0.011289137875035691
M3R,EL150800460627,5.6C(58%)-3.5C,10,5,448,0.001026514158565378,0.032039259644463976,0.016031874953801494
M3R,EL150800460640,6C(40%)-3.6C,10,5,720,0.00015973828530940325,0.012638761225270587,0.008515722210538973
M3R,EL150800460641,5.2C(58%)-4C,10,5,509,0.00036999517982948726,0.019235258766896985,0.011168847336394193
M3R,EL150800463871,5.4C(60%)-3.6C,10,5,548,0.00207326666194591,0.04553313806389704,0.03464272671082427
M3R,EL150800453113,5.4C(50%)-3C,20,1,698,0.00020257403347460372,0.014232850504189374,0.010793436133327497
M3R,EL150800460478,4.4C(24%)-5C,20,1,473,0.0009100747656511353,0.030167445461144624,0.01843823945776535
M3R,EL150800460511,5.6C(38%)-4.25C,20,1,457,0.00010059330267809879,0.01002962126294402,0.007751881252873989
M3R,EL150800460518,1C(4%)-6C,20,1,279,0.005955891035255992,0.07717441956539739,0.06297089732718242
M3R,EL150800460608,5.2C(37%)-4.5C,20,1,471,0.0005704510374354686,0.02388411684436895,0.01261669776977687
M3R,EL150800460611,4.8C(80%)-4.8C,20,1,440,0.001842729537855069,0.04292702572803139,0.027997069624543545
M3R,EL150800460613,6C(4%)-4.75C,20,1,466,2.7919593509488204e-05,0.005283899460577217,0.0032557445565693983
M3R,EL150800460614,4.9C(27%)-4.75C,20,1,447,0.0007440309695559634,0.027276931087568547,0.016008635197806854
M3R,EL150800465027,4.8C(80%)-4.8C,20,1,849,5.882279768694648e-06,0.0024253411654228457,0.0020981759921849872
M3R,EL150800460486,3.6C(80%)-3.6C,20,2,2139,0.0058598401195877866,0.07654959255010954,0.05577151233350859
M3R,EL150800460498,6C(31%)-4.25C,20,2,441,0.0004394844434653984,0.020963884264739642,0.014634587248095373
