replicate,rmse_log_m1,rmse_log_m2,delta_rmse_log_m2_minus_m1,mae_log_m1,mae_log_m2,delta_mae_log_m2_minus_m1,relative_mae_improvement
1102,0.3310163065402219,0.3510440358472224,0.020027729307000475,0.2589030757418135,0.25745101439700996,-0.0014520613448035236,0.005608513304228051
1103,0.3592150843213282,0.37124257346476713,0.01202748914343893,0.26617454862270123,0.262623749071949,-0.003550799550752215,0.013340116735899587
1104,0.4338558970466381,0.4100295877723887,-0.02382630927424939,0.3111795545479989,0.2745666016548672,-0.03661295289313171,0.11765860692973075
1105,0.3529836440107676,0.3672874602849635,0.014303816274195913,0.2676092798837931,0.2626889882447704,-0.004920291639022745,0.018386102459374117
1106,0.4542950019367751,0.4736507598200355,0.019355757883260438,0.2825362213580389,0.2891413815867471,0.006605160228708218,-0.02337810068018836
1107,0.41027177467624165,0.3916382030010202,-0.01863357167522145,0.28664719216091517,0.24578803051435436,-0.04085916164656081,0.14254164270209804
1108,0.3682544790378299,0.32907739143490633,-0.039177087602923544,0.2826581613367683,0.2149355953693607,-0.06772256596740761,0.23959175863569246
1109,0.4081309292572016,0.3726100442468132,-0.035520885010388414,0.30787542332185047,0.2588177035205762,-0.04905771980127427,0.15934276036703887
1110,0.40341652470214634,0.4210405005734828,0.01762397587133646,0.2633824036945314,0.26751514999209824,0.004132746297566825,-0.015691049362431774
1111,0.2888046772844517,0.2485775879065209,-0.04022708937793079,0.24801867664411908,0.17443621837792692,-0.07358245826619217,0.2966811179779631
1112,0.4199586038492681,0.3992121444673802,-0.020746459381887905,0.3064045850852346,0.26606620062384245,-0.04033838446139215,0.13165072072981857
1113,0.39383351392123084,0.36446426654442904,-0.0293692473768018,0.2845915675410466,0.22826962804744802,-0.056321939493598566,0.1979044564820961
1114,0.3915556161165281,0.3911105729741618,-0.00044504314236631926,0.2781786973609614,0.2579642539802133,-0.020214443380748126,0.07266711496070492
1115,0.4037415741857467,0.42446289961996486,0.020721325434218174,0.29243085265945623,0.2910920821987998,-0.0013387704606564466,0.0045780752902139284
