C1,Q1_percent,C2,q,single_stage_0_80,C2_effective,tau_0_80_min,E0_20,E20_40,E40_60,E60_80,observed_train_parameter_combo,d5_raw,d5_soc,passes_raw_5nn,passes_soc_5nn,passes_double_5nn,support_bootstrap_rate,passes_support_bootstrap,q2b_pred_log_life,q2b_pred_cycle_life,model_disagreement_log,candidate_type,status,status_reason
5.6,70.0,4.85,0.7,False,4.85,8.737113402061857,5.599999999999999,5.599999999999999,5.6,5.224999999999999,False,0.8015304238818156,2.2261624860866074,True,True,True,0.991,True,5.851480469634027,347.748831155262,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.6,38.0,5.4,0.38,False,5.4,8.738095238095239,5.599999999999999,5.58,5.4,5.4,False,0.9200000000000007,2.2895990681881,True,True,True,0.949,True,5.97163285544764,392.1454651208638,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.6,37.0,5.4,0.37,False,5.4,8.742063492063494,5.599999999999999,5.569999999999999,5.4,5.4,False,0.9204435488016707,2.27916751306614,True,True,True,0.911,True,5.978569569658059,394.8751226228468,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.6,71.0,4.75,0.71,False,4.75,8.743984962406016,5.599999999999999,5.599999999999999,5.6,5.2175,False,0.7486382194848654,2.2142945847516975,True,True,True,0.998,True,5.916804540989402,371.223586826061,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
4.8,30.0,6.0,0.3,False,6.0,8.749999999999998,4.8,5.4,6.0,6.0,False,0.8801959429349716,2.332259360712942,True,True,True,0.857,True,6.283036348047073,535.4118950929594,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
6.0,65.0,4.0,0.65,False,4.0,8.75,6.000000000000001,6.000000000000001,6.0,4.5,False,0.6532216081757821,2.221412716941398,True,True,True,0.987,True,6.136432042431822,462.40079767474566,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.6,70.0,4.8,0.7,False,4.8,8.75,5.599999999999999,5.599999999999999,5.6,5.199999999999999,False,0.7678873748201381,2.198961475582254,True,True,True,0.991,True,5.859175771362571,350.4351862365731,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
6.0,50.0,4.8,0.5,False,4.8,8.75,6.000000000000001,6.000000000000001,5.3999999999999995,4.8,False,0.9518891661815871,2.244952953367468,True,True,True,0.996,True,5.738894018885708,310.72056979349793,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.6,69.0,4.85,0.69,False,4.85,8.753681885125184,5.599999999999999,5.599999999999999,5.6,5.187499999999999,False,0.7897312898727524,2.188781147660395,True,True,True,0.998,True,5.808584276756243,333.147147497857,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.6,70.0,4.75,0.7,False,4.75,8.763157894736842,5.599999999999999,5.599999999999999,5.6,5.174999999999999,False,0.7348816370056905,2.179319925486458,True,True,True,1.0,True,5.86957555829831,354.09865413235576,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.6,65.0,5.0,0.65,False,5.0,8.764285714285716,5.599999999999999,5.599999999999999,5.6,5.1499999999999995,False,0.8616843969807045,2.18403259679818,True,True,True,0.996,True,5.673468409435715,291.0422394641804,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.4,19.0,5.5,0.19,False,5.5,8.765656565656567,5.404999999999999,5.5,5.499999999999999,5.5,False,0.9592261443050684,2.1796083464753693,True,True,True,0.916,True,6.0562538642359245,426.77368637538774,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
