C1,Q1_percent,C2,q,single_stage_0_80,C2_effective,tau_0_80_min,E0_20,E20_40,E40_60,E60_80,observed_train_parameter_combo,d5_raw,d5_soc,passes_raw_5nn,passes_soc_5nn,passes_double_5nn,support_bootstrap_rate,passes_support_bootstrap,q2b_pred_log_life,q2b_pred_cycle_life,model_disagreement_log,candidate_type,status,status_reason
1.0,13.0,5.4,0.13,False,5.4,15.244444444444444,2.54,5.4,5.4,5.4,False,1.9021106697561008,7.044394617699427,False,False,False,0.0,False,5.386974881542864,218.54127133835178,N/A,new_parameter_combo,rejected,no_support
1.0,13.0,5.5,0.13,False,5.5,15.10909090909091,2.5749999999999997,5.5,5.499999999999999,5.5,False,1.9171919570037848,6.903946490292191,False,False,False,0.0,False,5.404838233756557,222.4802277820036,N/A,new_parameter_combo,rejected,no_support
1.0,13.0,6.0,0.13,False,6.0,14.500000000000002,2.75,6.000000000000001,6.0,6.0,False,2.02749279673599,6.427931870632572,False,False,False,0.0,False,5.541896858893074,255.1615461516341,N/A,new_parameter_combo,rejected,no_support
1.0,19.0,3.0,0.19,False,3.0,23.6,1.1,3.0000000000000004,3.0,3.0,False,2.5783661374551743,19.27561557055856,False,False,False,0.0,False,6.01356400907577,408.9381855621341,N/A,new_parameter_combo,rejected,no_support
1.0,19.0,3.5,0.19,False,3.5,21.85714285714286,1.125,3.5,3.5,3.4999999999999996,False,2.3842348920373104,16.68639666760262,False,False,False,0.0,False,6.109175875439294,449.96773286062677,N/A,new_parameter_combo,rejected,no_support
1.0,19.0,3.6,0.19,False,3.6,21.566666666666666,1.1300000000000001,3.6,3.6,3.6000000000000005,False,2.382892364419376,16.257793262972847,False,False,False,0.0,False,6.078793853285109,436.5023911559294,N/A,new_parameter_combo,rejected,no_support
1.0,19.0,4.0,0.19,False,4.0,20.55,1.1500000000000001,4.0,4.0,4.0,False,2.2750897044436096,14.774490771015135,False,False,False,0.0,False,5.792251113245404,327.74999691967287,N/A,new_parameter_combo,rejected,no_support
1.0,19.0,4.25,0.19,False,4.25,20.011764705882353,1.1625,4.25,4.25,4.25,False,2.1678100724473266,14.007604606661713,False,False,False,0.0,False,5.564460640099043,260.98440122077966,N/A,new_parameter_combo,rejected,no_support
1.0,19.0,4.4,0.19,False,4.4,19.71818181818182,1.1700000000000002,4.4,4.4,4.4,False,2.0923194092212793,13.598201252965492,False,False,False,0.0,False,5.460240178697564,235.1538965398585,N/A,new_parameter_combo,rejected,no_support
1.0,19.0,4.5,0.19,False,4.5,19.533333333333335,1.175,4.5,4.5,4.5,False,2.044358214747133,13.344702258982768,False,False,False,0.0,False,5.404282297132553,222.35657724937724,N/A,new_parameter_combo,rejected,no_support
