repeat,feature,standardized_coefficient
123,C2,-0.014384839762567927
124,C1,-0.025067048562141196
124,Q1_percent,0.17281100117550785
124,C2,-0.0767957318142991
125,C1,0.11184486334064489
125,Q1_percent,0.05381974024055471
125,C2,-0.04211926321733736
126,C1,0.07169070777190709
126,Q1_percent,0.0068896489490725046
126,C2,-0.04185070689821422
127,C1,-0.07443232866451883
127,Q1_percent,0.14541097591518506
127,C2,-0.18288597241463442
128,C1,-0.05285667484525658
128,Q1_percent,0.08921770703443503
128,C2,-0.14851629453500864
129,C1,-0.04207616093924702
129,Q1_percent,0.16322153495082234
129,C2,-0.1283424296050108
130,C1,-0.06303193295664143
130,Q1_percent,0.1771467897756775
130,C2,-0.11479982588664726
131,C1,-0.09709077382270169
131,Q1_percent,0.22589213071383654
131,C2,-0.1083016321945985
132,C1,-0.20400855530727627
132,Q1_percent,0.25786644351708055
132,C2,-0.2183573775934757
133,C1,-0.07577979469508406
133,Q1_percent,0.10743010985799473
133,C2,-0.14508230729012464
134,C1,-0.08036089633158346
134,Q1_percent,0.13747500842019528
134,C2,-0.1669207872635983
135,C1,0.1041133627623126
135,Q1_percent,0.01644851613035658
135,C2,-0.07382741760568036
136,C1,-0.1911063471683082
136,Q1_percent,0.07501827464782389
136,C2,-0.22408002398092697
137,C1,-0.04525545280304911
137,Q1_percent,0.19709930731287578
137,C2,-0.09290628732150692
138,C1,-0.035357613904277156
138,Q1_percent,0.0675684514546214
138,C2,-0.11804663464874594
139,C1,-0.07506421923905628
139,Q1_percent,0.20635138069441844
139,C2,-0.18375252585126475
140,C1,0.09144300624607216
140,Q1_percent,0.05403670788727149
140,C2,-0.07686323258709112
141,C1,-0.05428037972989501
141,Q1_percent,0.12414744212380824
141,C2,-0.17866365724146638
142,C1,0.09996175775382199
142,Q1_percent,0.16668851531372184
142,C2,-0.029524097749134847
143,C1,-0.06249301600839577
143,Q1_percent,0.25626095124213266
143,C2,-0.11349671114413076
144,C1,0.14613160498279962
144,Q1_percent,0.01026100608140738
144,C2,0.0286313084015227
145,C1,-0.0058185358540607714
145,Q1_percent,0.17277804369592206
145,C2,-0.07713233694821077
146,C1,-0.026422180551538096
146,Q1_percent,0.1577847565250925
146,C2,-0.11148768972357208
147,C1,-0.11482568189728812
147,Q1_percent,0.19943152814161277
147,C2,-0.19738469663749125
148,C1,-0.046344606822899474
148,Q1_percent,0.16585578642275475
148,C2,-0.1698596658440546
149,C1,-0.014692539592991237
149,Q1_percent,0.17447199763078378
149,C2,-0.05392971622316672
150,C1,0.05017345168056635
150,Q1_percent,0.05300903810387978
150,C2,-0.05960377601749037
151,C1,-0.01924055492011816
151,Q1_percent,0.13445651416608073
151,C2,-0.14263197402237954
152,C1,0.031234088818152747
152,Q1_percent,0.10862351635155683
152,C2,-0.1297301615967234
153,C1,-0.12268063874725568
153,Q1_percent,0.270067274647158
153,C2,-0.15576547774626986
154,C1,0.01681345075563227
154,Q1_percent,0.10059078145755962
154,C2,-0.04358300999603427
155,C1,-0.04648255411651581
155,Q1_percent,0.14683001358307834
155,C2,-0.0779535201128322
156,C1,-0.004778297936010001
156,Q1_percent,0.15751312392657127
156,C2,-0.11317001323330644
157,C1,-0.00040049507956552095
157,Q1_percent,0.14592932716447526
157,C2,-0.12998849865164389
158,C1,-0.02399507495515631
158,Q1_percent,0.17581639208001276
158,C2,-0.07296053428745726
159,C1,-0.056806439325926904
159,Q1_percent,0.1941240528982758
159,C2,-0.15073581588296203
160,C1,0.012356661394190635
160,Q1_percent,0.13197995728208492
160,C2,-0.1168620335758674
161,C1,0.07131780244835953
161,Q1_percent,0.07554805585561739
161,C2,-0.037985381864265685
162,C1,0.1300111701377547
162,Q1_percent,0.10929899440489203
162,C2,0.020242406535639842
163,C1,-0.030857684919709853
163,Q1_percent,0.16106079200286313
163,C2,-0.11755499102313018
164,C1,0.05411701931939636
164,Q1_percent,0.1298811393330692
164,C2,-0.09921779317395961
165,C1,0.011110750305709004
165,Q1_percent,0.15454516499340973
165,C2,-0.09545067266279474
166,C1,-0.1569279561613507
166,Q1_percent,0.2346059062397452
166,C2,-0.21666389012356435
167,C1,-0.1486004410868395
167,Q1_percent,0.14544981289302672
167,C2,-0.1870927657846446
168,C1,0.08143461536362868
168,Q1_percent,0.11697547730687109
168,C2,-0.0691519648194607
169,C1,-0.044973408022715065
169,Q1_percent,0.16760145658788336
169,C2,-0.0768450767941134
170,C1,0.13552317753787924
170,Q1_percent,0.09537873058794553
170,C2,-0.04870641752029523
171,C1,-0.09447568635672328
171,Q1_percent,0.16488947220107836
171,C2,-0.11912498598373769
172,C1,-0.1259566258133269
172,Q1_percent,0.1537977415733892
172,C2,-0.19187934497182751
173,C1,-0.047188151590261074
173,Q1_percent,0.1440557508400527
173,C2,-0.1482413849032028
174,C1,0.014292564896625061
174,Q1_percent,0.18206508916187458
174,C2,-0.07927846877759956
175,C1,0.09819681872251002
175,Q1_percent,0.06887018184027618
175,C2,-0.023606635513180346
176,C1,-0.06962148774529778
176,Q1_percent,0.18212513456624776
176,C2,-0.16364966843819911
177,C1,-0.0659443036711312
177,Q1_percent,0.15642578280742447
177,C2,-0.16906901355289394
178,C1,-9.330528673869369e-05
178,Q1_percent,0.21399062262255866
178,C2,-0.06406318622954543
179,C1,-0.08668447742987313
179,Q1_percent,0.0005822183557307724
179,C2,-0.24471420412539344
180,C1,0.03269334044357136
180,Q1_percent,0.11363303236832883
180,C2,-0.04740054442882398
181,C1,0.10338924310025194
181,Q1_percent,0.07428840702579861
181,C2,-0.016872665607788957
182,C1,0.08558583797153174
182,Q1_percent,0.16213731743198642
182,C2,-0.046850787342494614
183,C1,0.02061833905261198
183,Q1_percent,0.13604963481715573
183,C2,-0.04268914492662359
184,C1,-0.14158413655212854
184,Q1_percent,0.1976196841250789
184,C2,-0.17633283641673672
185,C1,-0.09461788792221555
