model_id,model_name,barcode,policy_table9,k,outer_fold,future_point_count,soh_mse,soh_rmse,soh_mae
M3,策略＋早期特征联合 Ridge,EL150800440551,4.4C(55%)-6C,100,5,360,0.005292056920599602,0.07274652514450158,0.061552783353806914
M3,策略＋早期特征联合 Ridge,EL150800453773,6C(60%)-3C,100,5,516,6.184271268117774e-05,0.007864013776766782,0.0047806935646721345
M3,策略＋早期特征联合 Ridge,EL150800460602,2C(2%)-5C,100,5,337,0.001975633158999665,0.044448095111035583,0.02974470998472727
M3,策略＋早期特征联合 Ridge,EL150800460604,4.9C(69%)-4.25C,100,5,397,0.0007916574989897629,0.02813640877919147,0.014184410050288952
M3,策略＋早期特征联合 Ridge,EL150800460627,5.6C(58%)-3.5C,100,5,358,0.001362740001823779,0.03691530850235142,0.01897604307438734
M3,策略＋早期特征联合 Ridge,EL150800460640,6C(40%)-3.6C,100,5,630,0.0012103940780544512,0.03479071827448308,0.023056824072189227
M3,策略＋早期特征联合 Ridge,EL150800460641,5.2C(58%)-4C,100,5,419,5.105375406564578e-05,0.007145190974749785,0.006125019963012044
M3,策略＋早期特征联合 Ridge,EL150800463871,5.4C(60%)-3.6C,100,5,458,0.00015036704934076687,0.012262424284812806,0.010876340494155139
M4,P3 策略先验＋早期残差 Ridge,EL150800453113,5.4C(50%)-3C,100,1,618,0.0008575731644110833,0.029284350162007748,0.02017665212212392
M4,P3 策略先验＋早期残差 Ridge,EL150800460478,4.4C(24%)-5C,100,1,393,0.0013439084394684761,0.03665935677925182,0.02305506540515766
M4,P3 策略先验＋早期残差 Ridge,EL150800460511,5.6C(38%)-4.25C,100,1,377,0.00014419426728820936,0.012008091742163255,0.009213233727593976
M4,P3 策略先验＋早期残差 Ridge,EL150800460518,1C(4%)-6C,100,1,199,0.0014509833975121032,0.038091775982646216,0.034106775998095744
M4,P3 策略先验＋早期残差 Ridge,EL150800460608,5.2C(37%)-4.5C,100,1,391,0.0007443090183283292,0.027282027386694142,0.018397724446648552
M4,P3 策略先验＋早期残差 Ridge,EL150800460611,4.8C(80%)-4.8C,100,1,360,0.0028955873467927176,0.05381066201778898,0.03793776610983045
M4,P3 策略先验＋早期残差 Ridge,EL150800460613,6C(4%)-4.75C,100,1,386,1.4268712886824237e-05,0.0037773949868691566,0.0026898275950715746
M4,P3 策略先验＋早期残差 Ridge,EL150800460614,4.9C(27%)-4.75C,100,1,367,0.0009908981786695623,0.03147853520527222,0.01927077437666376
M4,P3 策略先验＋早期残差 Ridge,EL150800465027,4.8C(80%)-4.8C,100,1,769,0.0002910076869868956,0.017058947417320204,0.0100906952335861
M4,P3 策略先验＋早期残差 Ridge,EL150800460486,3.6C(80%)-3.6C,100,2,2059,0.0004048991360801111,0.020122105657214683,0.01403897224374668
M4,P3 策略先验＋早期残差 Ridge,EL150800460498,6C(31%)-4.25C,100,2,361,0.0007203290070459838,0.02683894571412938,0.0181675683342448
M4,P3 策略先验＋早期残差 Ridge,EL150800460501,4.65C(69%)-6C,100,2,426,0.004182913659665134,0.0646754486622639,0.04657957753843726
M4,P3 策略先验＋早期残差 Ridge,EL150800460522,5.4C(50%)-3.6C,100,2,756,0.005830484293607017,0.07635760796153201,0.05659045507410261
M4,P3 策略先验＋早期残差 Ridge,EL150800460525,6C(50%)-3C,100,2,641,0.0011583348519849641,0.03403431873837001,0.023537117247011588
M4,P3 策略先验＋早期残差 Ridge,EL150800460618,7C(40%)-3C,100,2,601,0.0017805450757213714,0.042196505491822085,0.02342652252168345
M4,P3 策略先验＋早期残差 Ridge,EL150800460659,5.4C(80%)-5.4C,100,2,769,0.008412018329188739,0.091717055824905,0.07043612786967368
M4,P3 策略先验＋早期残差 Ridge,EL150800464977,4C(80%)-4C,100,2,1333,0.00021417559181644347,0.014634739212450745,0.008953014395892326
M4,P3 策略先验＋早期残差 Ridge,EL150800460485,7C(40%)-3.6C,100,3,515,0.0033678252086123154,0.058032966567394394,0.03614171909583844
M4,P3 策略先验＋早期残差 Ridge,EL150800460506,6C(50%)-3.6C,100,3,603,0.0011235870399125603,0.033519949879326494,0.018322581059229744
M4,P3 策略先验＋早期残差 Ridge,EL150800460507,6C(30%)-3.6C,100,3,759,0.000418985613461751,0.02046913807324947,0.01313190184745253
M4,P3 策略先验＋早期残差 Ridge,EL150800460603,4.65C(19%)-4.85C,100,3,388,0.002073769811979991,0.045538662825998645,0.029136712027509868
M4,P3 策略先验＋早期残差 Ridge,EL150800460630,5.4C(70%)-3C,100,3,916,0.005182172223675957,0.07198730598984766,0.05182767530879747
M4,P3 策略先验＋早期残差 Ridge,EL150800460634,3.6C(30%)-6C,100,3,410,0.00435575178874128,0.06599811958488878,0.05638850304077512
M4,P3 策略先验＋早期残差 Ridge,EL150800463208,4C(40%)-6C,100,3,382,0.0036506737840218463,0.060420805886895,0.04545459004148207
M4,P3 策略先验＋早期残差 Ridge,EL150800463882,5.4C(40%)-3.6C,100,3,687,0.0002136368127560774,0.01461632008256789,0.007462615989559234
M4,P3 策略先验＋早期残差 Ridge,EL150800460466,4C(13%)-5C,100,4,376,0.0001471004994683329,0.012128499473073035,0.00880611300102845
M4,P3 策略先验＋早期残差 Ridge,EL150800460513,5.6C(65%)-3C,100,4,328,0.0016847077040378308,0.04104519099770192,0.023602904664788472
M4,P3 策略先验＋早期残差 Ridge,EL150800460615,6C(40%)-3C,100,4,608,3.332639212183879e-05,0.005772901534050168,0.004560716982171511
M4,P3 策略先验＋早期残差 Ridge,EL150800460628,5.2C(71%)-3C,100,4,362,0.00216661478402518,0.046546909500257694,0.0302248855993342
M4,P3 策略先验＋早期残差 Ridge,EL150800460655,3.6C(22%)-5.5C,100,4,343,0.00035820174182086043,0.01892621837084367,0.016163899471647158
M4,P3 策略先验＋早期残差 Ridge,EL150800463229,7C(30%)-3.6C,100,4,865,0.0020590117595236965,0.045376334796055275,0.03055512322543044
M4,P3 策略先验＋早期残差 Ridge,EL150800464881,5.4C(60%)-3C,100,4,687,0.0035863703061332153,0.05988631150883493,0.041215215412514994
M4,P3 策略先验＋早期残差 Ridge,EL150800464883,4.4C(80%)-4.4C,100,4,973,0.0014730960121500836,0.03838093292443637,0.022942258616863578
M4,P3 策略先验＋早期残差 Ridge,EL150800440551,4.4C(55%)-6C,100,5,360,0.0056099803523735415,0.07489980208500915,0.06414280633914671
M4,P3 策略先验＋早期残差 Ridge,EL150800453773,6C(60%)-3C,100,5,516,0.0037922570487779177,0.061581304377042206,0.043848754279592436
M4,P3 策略先验＋早期残差 Ridge,EL150800460602,2C(2%)-5C,100,5,337,0.0023487779172133775,0.04846419211349115,0.03252206267115013
M4,P3 策略先验＋早期残差 Ridge,EL150800460604,4.9C(69%)-4.25C,100,5,397,0.0016577285897220657,0.04071521324667311,0.028885240457259424
M4,P3 策略先验＋早期残差 Ridge,EL150800460627,5.6C(58%)-3.5C,100,5,358,0.0018927726482558557,0.043506007036452514,0.023510879233506934
M4,P3 策略先验＋早期残差 Ridge,EL150800460640,6C(40%)-3.6C,100,5,630,0.00020745399686371944,0.014403263410203933,0.007643230987161222
M4,P3 策略先验＋早期残差 Ridge,EL150800460641,5.2C(58%)-4C,100,5,419,0.0011098139265071332,0.033313869881884534,0.024009570500253718
M4,P3 策略先验＋早期残差 Ridge,EL150800463871,5.4C(60%)-3.6C,100,5,458,0.00044376748521096827,0.021065789451406,0.015145735868783644
