replicate,method_id,rmse_log,mae_log,rmse_cycle,mae_cycle,overprediction_rate,mean_positive_log_error,mean_positive_cycle_error
780,C1_restricted_boosting,0.2632057553121064,0.18399331834659238,192.5046913464809,122.30304553380515,0.3902439024390244,0.08234418867137354,52.345280052140815
781,P1_ridge,0.2890619589231291,0.23186290107681604,182.89215316805976,145.04140759168274,0.5609756097560976,0.1664490446789252,94.26034616359509
781,P2_elasticnet,0.30242399471102177,0.24344034117756305,190.00274354235503,152.26584717955728,0.5609756097560976,0.17622637357797352,100.71807791444877
781,P3_additive_gam,0.2784329164919288,0.20401812029256622,185.92471867883765,132.58742645276422,0.4878048780487805,0.13323633349960548,82.55476255115728
781,C1_restricted_boosting,0.282478519863997,0.18673324698786187,187.43708819888195,122.11699868575155,0.6341463414634146,0.13382535754531655,81.54522223190949
782,P1_ridge,0.36752637885200273,0.2760752620562392,325.9019078576867,194.06117526376667,0.6829268292682927,0.16160404771260317,89.12511407248766
782,P2_elasticnet,0.38367813027448794,0.29214336799611446,333.147476271622,204.3036177581624,0.6585365853658537,0.17332568977407267,97.07814937535936
782,P3_additive_gam,0.36048766824636125,0.2461417242738329,328.19236635894646,180.6393894284686,0.5609756097560976,0.13361299466987558,79.64470887428001
782,C1_restricted_boosting,0.33256315393582214,0.2176026783064987,300.6707810146855,161.39632444308123,0.4146341463414634,0.1151610038916689,70.43825893670038
783,P1_ridge,0.42639386711983573,0.3196274581880782,372.03623774568007,229.74868163905253,0.5714285714285714,0.16939354123041986,90.70111996134385
783,P2_elasticnet,0.44426724255782823,0.33450079414797873,378.9940237458295,238.35956041979867,0.5238095238095238,0.18013338218885686,97.15303281377057
783,P3_additive_gam,0.3981832093146683,0.2556984834096501,370.3693616509202,202.2650336951803,0.5714285714285714,0.11407373110149117,71.55805112268195
783,C1_restricted_boosting,0.3752880763831195,0.2638893363921726,334.4700608350902,195.90810689761904,0.5238095238095238,0.12847610917857097,71.07314545120929
784,P1_ridge,0.3885640668700635,0.28387306418281527,352.4146706545048,212.86457781521764,0.4878048780487805,0.11587375439896333,66.17409838495367
784,P2_elasticnet,0.39833639299944207,0.2925690908312812,356.7187168623697,218.07803650797212,0.4634146341463415,0.12063563998689797,69.08356837820105
784,P3_additive_gam,0.3801627974134226,0.258821017806608,351.634177561186,200.92870072846668,0.4634146341463415,0.0887491781301053,55.579743152857105
784,C1_restricted_boosting,0.34696149450097113,0.21648671946839407,316.8922645169609,167.18273713890468,0.4634146341463415,0.06952022956536756,40.31872037776692
785,P1_ridge,0.3256844178696309,0.2181526752906883,310.81322865713173,166.59992120772057,0.5,0.09389639348881482,55.69436738876299
785,P2_elasticnet,0.3254229884570041,0.2177047150132369,310.7423497320459,166.28376860529195,0.42857142857142855,0.09005675578976036,53.25522880749002
785,P3_additive_gam,0.3160821908735194,0.19198012380432314,304.61892971114656,149.07548050981282,0.4523809523809524,0.0770977319557023,48.35246053234069
785,C1_restricted_boosting,0.2785861439871971,0.17646649701076939,277.86135371450615,141.55965486645832,0.5952380952380952,0.07136486191811786,46.94999976114912
786,P1_ridge,0.44441782330572555,0.3061549775452814,442.46136866078444,250.52367479726465,0.5121951219512195,0.10918938970356448,62.52241708853478
786,P2_elasticnet,0.45508793892376453,0.3181728828008093,447.5029801903763,257.8854016924609,0.43902439024390244,0.1142321901863824,66.24272762266328
786,P3_additive_gam,0.4436767483368256,0.30567286640848274,441.40735509614683,251.0356703820691,0.4146341463414634,0.10753397835167525,65.31172869175043
786,C1_restricted_boosting,0.3830787022526168,0.2570570955210759,394.1617639756482,218.173842562761,0.4146341463414634,0.09592452656413845,60.02044466232048
787,P1_ridge,0.48225528187038624,0.32150017964577554,505.1435380476637,275.9113166912151,0.475,0.10897653207958194,58.347217405351465
787,P2_elasticnet,0.48980527701849363,0.3204318711923779,507.6377097637373,274.09526810579615,0.425,0.10935583841774679,58.58478203676191
787,P3_additive_gam,0.44211832489079256,0.2680508380063156,490.81752071027944,247.96547268904342,0.425,0.05888146298698327,33.2669989912612
787,C1_restricted_boosting,0.38968266976657195,0.2629359547527745,440.89708866938025,236.8491130542835,0.45,0.08051125755723669,45.067214526550984
788,P1_ridge,0.3293682637899034,0.2344686089337923,274.50394715943514,171.07675842256236,0.5365853658536586,0.096020425757889,53.032998384841406
788,P2_elasticnet,0.3297184354160719,0.22961167666080057,274.319403690748,167.94117536406412,0.4146341463414634,0.09030565974195097,50.2283022063462
788,P3_additive_gam,0.3254441994756874,0.23820141167484937,269.27787033120416,171.59631359754943,0.5365853658536586,0.11110743608914479,63.779380635262676
788,C1_restricted_boosting,0.29877066788032947,0.2195720448458473,246.20506175891413,164.73501287427558,0.5121951219512195,0.10814578510895426,67.42855123680026
789,P1_ridge,0.381367472069308,0.24423004321518826,377.72888903395983,184.32099477218765,0.6097560975609756,0.13073632571375052,71.57303340149292
789,P2_elasticnet,0.3924877016211299,0.24916727942995717,382.34507102983986,187.54571301135917,0.5365853658536586,0.13105925502718613,72.64815338055928
789,P3_additive_gam,0.36988789333380995,0.24296046097939106,373.4470166141563,185.70260002227246,0.6097560975609756,0.13277165525058193,76.58344823422102
789,C1_restricted_boosting,0.35429958567179076,0.24415680559704148,346.6089819038438,180.64013294190863,0.4146341463414634,0.11910093568270284,69.89898989118328
790,P1_ridge,0.34792481097753164,0.2645114172232212,311.94055156631424,191.42416227882282,0.6,0.13913778556216388,79.07784369101736
790,P2_elasticnet,0.35113405684122406,0.2603552263119834,311.55887084113516,188.4179858832729,0.525,0.13883660238843631,79.4019547403393
790,P3_additive_gam,0.299640020620887,0.2081989101294118,287.999261231548,154.32688144250582,0.525,0.09150574323963527,50.722660165996295
790,C1_restricted_boosting,0.28966886351309507,0.19274494993166216,271.9268607640412,145.50090920991138,0.4,0.07960108372118116,47.068610210843644
791,P1_ridge,0.3277428326602904,0.22910673272997914,293.2618768034481,158.92059096252916,0.7317073170731707,0.15363134153221705,86.19666545632003
791,P2_elasticnet,0.333542011287427,0.2299044033258211,294.7209778589093,159.09657147285537,0.6829268292682927,0.1552849174218788,87.61835346143367
791,P3_additive_gam,0.3062932522147729,0.18954602973072185,286.91455751431806,136.4772263759017,0.5609756097560976,0.11081164000642792,65.49248274265572
791,C1_restricted_boosting,0.3050790144102931,0.2041094215583682,272.7006985061121,141.5375828888754,0.43902439024390244,0.09488705750189212,56.075087165548766
792,P1_ridge,0.387774691005465,0.26736544141000473,362.62002633090407,206.99947308447423,0.5476190476190477,0.1252307032214854,72.76771934912108
792,P2_elasticnet,0.3912337831653147,0.26620306952427814,364.39929041974773,206.54105605201943,0.47619047619047616,0.1219857317779913,71.29304686751735
792,P3_additive_gam,0.3692766848980058,0.23576217967670438,353.3805751096202,188.47799897526318,0.6190476190476191,0.11174779353431359,68.76642919446942
792,C1_restricted_boosting,0.31539772081612133,0.21454051515319653,313.89447084345363,173.85360582356947,0.5,0.0904043862738138,56.03560374370032
793,P1_ridge,0.33635234511332,0.2744176029009809,244.76230288013983,187.7724781182314,0.5365853658536586,0.1439972802209138,81.30991365971377
793,P2_elasticnet,0.342947358414106,0.28260870943170807,245.69085264168393,191.78855410609347,0.4878048780487805,0.1513037979277653,86.0102208750366
793,P3_additive_gam,0.3055090421977469,0.22332055763380493,226.89882757538095,154.91953949899175,0.4146341463414634,0.10847360063687675,65.09438044171803
793,C1_restricted_boosting,0.29918043995434734,0.21668914741333412,218.620643393726,150.61324711350278,0.4878048780487805,0.10499739370866579,62.209143291244835
794,P1_ridge,0.3870436194230934,0.2454459681771889,400.3054958989838,202.7816728100723,0.5121951219512195,0.09318047458684857,53.10610193352275
794,P2_elasticnet,0.3887293236295008,0.24472354960081713,400.616963554689,201.11431870147982,0.4634146341463415,0.09634641654455045,54.77184985018596
794,P3_additive_gam,0.36251142205956294,0.21116599420878007,386.69702205151236,180.8243584286856,0.34146341463414637,0.06677242471437085,40.40159150070497
794,C1_restricted_boosting,0.3363505274373127,0.23231819003402243,360.86620243433396,195.9667415014211,0.5121951219512195,0.08355238153517168,53.38956762976167
795,P1_ridge,0.3512737012486966,0.24040009915667043,320.33982615581795,171.65434004399268,0.7,0.1612916480332063,92.36284681827287
795,P2_elasticnet,0.36111282105584963,0.24442391623030976,325.19293073530855,175.11681160985694,0.625,0.16407399943081724,95.61607258139695
795,P3_additive_gam,0.3331993081253056,0.2051385467749423,314.4426380491211,152.32907131915636,0.6,0.12444343352195822,75.515170304561
795,C1_restricted_boosting,0.3211022825810743,0.2013716587459049,299.4641650323902,152.70503027074597,0.575,0.1166992413384876,75.84798341070818
796,P1_ridge,0.2609367108095759,0.21175122669995555,163.83820927852503,131.70736372475275,0.4878048780487805,0.12282363116017919,65.59872291813714
796,P2_elasticnet,0.2745743405767198,0.21987272871607194,169.814091841408,136.3375580511307,0.43902439024390244,0.12734803430281658,68.55091641608573
796,P3_additive_gam,0.22436469575843124,0.16193792821332864,153.18321953135896,106.21485419597181,0.4634146341463415,0.08257377273611016,50.437174906709515
796,C1_restricted_boosting,0.25207065543970625,0.17924738324947112,162.33305472963573,114.01948239111341,0.5609756097560976,0.10068531338306182,60.08113284657119
797,P1_ridge,0.3974782119629187,0.26988106815783414,399.7003559721518,215.9834076242843,0.5,0.12137709060842379,72.22471891066623
797,P2_elasticnet,0.39872187772257567,0.2704585365119606,400.2192346238611,215.6341416454929,0.47619047619047616,0.11916703724658567,70.72115001622727
797,P3_additive_gam,0.38471514054033856,0.25242859382615085,391.42087468345886,202.96809826020532,0.5714285714285714,0.11593096518985424,71.29121035293504
797,C1_restricted_boosting,0.32672578801409696,0.20644418075711282,350.84958253787033,174.04263235611663,0.5476190476190477,0.08374192758845768,51.539832055451306
798,P1_ridge,0.3736472171698531,0.2840681978804299,316.56245215449616,198.0403969627054,0.725,0.19085824240267835,115.23980736891693
798,P2_elasticnet,0.3904979293384979,0.29394301504392273,325.88781057928327,205.7580946236823,0.575,0.19562947698612027,119.95163363950492
798,P3_additive_gam,0.3555567666366012,0.24675135025917064,309.92614012088126,174.8648484853048,0.575,0.14424750271191306,87.67649096126226
798,C1_restricted_boosting,0.37435848849786546,0.25787084895895585,311.16953537282853,184.71480783974985,0.675,0.17819216978935887,116.85186392101437
799,P1_ridge,0.40993250169059314,0.2837104571685377,408.7076977292609,222.57064227441734,0.525,0.11546716440698386,63.41410383909132
799,P2_elasticnet,0.42179874436163933,0.28885238905145394,413.74435294731404,226.21010483810497,0.5,0.11897094451054535,66.78368497874206
799,P3_additive_gam,0.40805655675894487,0.27023935486544354,411.4483345761568,219.89845768314098,0.5,0.09635162830490185,58.558094096458014
799,C1_restricted_boosting,0.37426307339487264,0.23220046421499765,376.26243890713016,190.5894318312064,0.375,0.0690365650886968,43.6215915566669
800,P1_ridge,0.31859591205906657,0.26000627216709193,233.4932438214785,177.95730541268847,0.4634146341463415,0.11767054283418074,67.9256817416114
800,P2_elasticnet,0.33085862609152616,0.2663339913995503,241.28710686279942,182.69440118717682,0.4634146341463415,0.12158377567646832,71.70735840419906
800,P3_additive_gam,0.359302692335299,0.27769289984659856,263.1304394362902,192.84906064147916,0.36585365853658536,0.12052156101505639,76.40416312982217
800,C1_restricted_boosting,0.36854946442039194,0.2734805219692088,262.45498027295724,189.42975015173056,0.4878048780487805,0.1190875963942904,78.47773896251832
801,P1_ridge,0.4145299362476661,0.3107395459973595,400.64610881193636,239.16945566151426,0.5853658536585366,0.14004789226653233,80.29141566274726
801,P2_elasticnet,0.42456657800453285,0.3195996294992817,404.44720684922805,244.3465005244279,0.5609756097560976,0.14578648636923155,83.94793842121238
801,P3_additive_gam,0.391698167310765,0.26843511769827927,390.4583208226653,212.7779098843227,0.43902439024390244,0.09891688102225596,58.89363521866791
801,C1_restricted_boosting,0.3755964565118416,0.265436749600515,365.4855041025339,208.3176521881578,0.43902439024390244,0.1047988309812342,62.938486824126215
802,P1_ridge,0.41297549670461414,0.28868714226949155,407.3696227658162,226.104956275675,0.43902439024390244,0.13096990258048746,73.34458384232093
802,P2_elasticnet,0.42101338551943485,0.29286899643405984,410.5047550845737,228.941113096256,0.4146341463414634,0.13435759601107763,76.11723544040605
802,P3_additive_gam,0.40223996551916086,0.2585774479568807,404.22315454170587,211.74290097503504,0.4146341463414634,0.10795452402609484,67.44735200686493
802,C1_restricted_boosting,0.37895214980312525,0.25536519577677663,376.95058847687596,207.98324272334725,0.4878048780487805,0.11871165513239758,74.12347860191329
803,P1_ridge,0.32772828575448526,0.2251119621304672,289.7784978174748,151.8370090421062,0.575,0.1346166888310985,67.09347361411837
803,P2_elasticnet,0.3398433553703957,0.22977881716661655,291.41596569516787,153.44315752464863,0.55,0.14292738212957307,71.6330490156397
803,P3_additive_gam,0.27025645159457967,0.1718644687351685,274.4763814186595,127.48578061557677,0.575,0.07975507361355427,43.804327603016816
803,C1_restricted_boosting,0.31400751622520107,0.223554550257834,270.0641794938929,151.89899203730187,0.575,0.12891854985669687,70.4915628488209
804,P1_ridge,0.5047122216330464,0.3497387630202546,511.10932675974294,294.9489380901884,0.5121951219512195,0.12660328900730558,70.33783059662804
804,P2_elasticnet,0.5194349412126507,0.36374177485105885,517.6213289395487,304.5070505122891,0.4146341463414634,0.13370063953152378,76.39352685841507
804,P3_additive_gam,0.5119748810499365,0.37350923480647197,515.5705174582587,314.3621785629967,0.5853658536585366,0.15563681637066576,94.32188682117902
804,C1_restricted_boosting,0.4518663765731083,0.31992604934358126,465.77530889819485,278.9559169685681,0.3902439024390244,0.1345932883681716,84.61015493837078
805,P1_ridge,0.3658348405770051,0.22178988462629645,379.5432619234362,176.3261652946366,0.625,0.11375937957463,64.6522129036323
805,P2_elasticnet,0.37037305090761186,0.22291343643157324,381.5374073693012,176.96574018246105,0.525,0.11142019564905999,64.07509027547641
805,P3_additive_gam,0.3347055790198183,0.1996014524782665,363.79463904091926,160.89563753273237,0.475,0.0906608342842123,50.67622187484314
