barcode,policy_table9,k,future_point_count,soh_mse,soh_rmse,soh_mae,confirmation_role
EL150800460636,7C(40%)-3.6C,5,645,0.0012334331509531548,0.03512026695446882,0.018740254460215558,Primary_restricted_confirmation
EL150800460642,7C(30%)-3.6C,5,619,0.00017096618560018267,0.013075403840806703,0.007439985314283339,Primary_restricted_confirmation
EL150800460644,6C(40%)-3C,5,911,0.00020074153661548606,0.014168328645803148,0.008309538226445803,Primary_restricted_confirmation
EL150800460647,7C(40%)-3C,5,1045,0.0002502302068988193,0.015818666407090686,0.00878401311721807,Primary_restricted_confirmation
EL150800460649,5.6C(47%)-4C,5,459,7.652120766165337e-05,0.008747640119578157,0.0077998701298080675,Primary_restricted_confirmation
EL150800460652,4.4C(8%)-4.85C,5,496,0.0004392228599827362,0.020957644428292416,0.01257199262488521,Primary_restricted_confirmation
EL150800460653,5.4C(50%)-3.6C,5,856,0.0050089032160514175,0.07077360536281459,0.04941375913440147,Primary_restricted_confirmation
EL150800460656,8C(15%)-3.6C,5,593,0.0004157857000679971,0.020390823918321622,0.010969704906430561,Primary_restricted_confirmation
EL150800460673,2C(7%)-5.5C,5,329,0.004063892607571578,0.06374866749643932,0.05002674438274451,Primary_restricted_confirmation
EL150800460678,6C(52%)-3.5C,5,423,0.0005157191535579258,0.022709450754210807,0.013011702119015993,Primary_restricted_confirmation
EL150800463198,6C(30%)-3.6C,5,836,0.00010527583907179408,0.010260401506363875,0.00692129088732262,Primary_restricted_confirmation
EL150800463245,4.65C(44%)-5C,5,507,0.0005040707365039908,0.022451519692528406,0.012990605479020383,Primary_restricted_confirmation
EL150800463838,5.4C(50%)-3C,5,874,0.00365020280475187,0.0604169082687278,0.04186644532121286,Primary_restricted_confirmation
EL150800463886,4.8C(80%)-4.8C,5,630,0.0012740502873132898,0.035693841027736,0.021385580777877042,Primary_restricted_confirmation
EL150800464002,5.4C(60%)-3.6C,5,528,0.0009874387986725684,0.03142353892661628,0.02753029233484539,Primary_restricted_confirmation
EL150800464865,4C(80%)-4C,5,1703,0.005664622957845534,0.07526368950460463,0.05414683787604975,Primary_restricted_confirmation
EL150800460436,6C(50%)-3C,100,656,0.0010710750413360098,0.03272728282849051,0.021709071476173635,Primary_restricted_confirmation
